"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-21","69","76","62"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-22","66","73","59"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-23","67","81","52"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-24","68","84","51"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-25","73","90","55"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-26","73","92","54"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-27","69","80","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-28","64","73","55"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-29","70","88","51"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-09-30","74","91","56"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-01","76","94","58"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-02","70","83","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-03","67","84","50"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-04","67","81","52"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-05","69","86","52"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-06","71","89","53"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-07","65","75","54"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-08","65","80","49"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-09","62","67","57"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-10","56","62","49"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-11","53","58","47"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-12","56","66","46"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-13","59","72","45"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-14","61","76","45"
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","2000-10-15","64","77","50"
